Name,Award Criteria,Num of Tiers,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Reward Tier 1,Reward Tier 2,Reward Tier 3,Reward Tier 4,Reward Tier 5,Reward Tier 6,Sequential,Version,Unique Entry ID
(island name) Miles!,Awarded when Nook Miles program is first unlocked,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,QvQq6d4qJgCiBkMLX
Angling for Perfection!,Number of total fish caught,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,wkj9WzycBpxtq6CDG
Island Ichthyologist,Number of unique fish caught,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,1.0.0,Ajpkv8wXcZLqM8bMT
Island Togetherness,Number of days in which you've talked to every one of your villagers,5,1,10,20,30,50,300,500,1000,2000,3000,0,Yes,1.0.0,syoxyxWL7ymwpKpGN
You've Got the Bug,Number of total bugs caught,5,10,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,weJ4f9MDdBuzLBrBM
Bugs Don't Bug Me,Number of unique bugs caught,5,10,20,40,60,80,300,500,1000,2000,3000,0,Yes,1.0.0,ttRSm74XC4MzSHgnX
Have a Nice DIY!,Number of DIY recipes collected,5,10,50,100,150,200,300,500,1000,2000,3000,0,Yes,1.0.0,fsanquagmfwNCY8wW
DIY Tools,Number of tools you've crafted,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,6k5CnRgbm55m93jMT
DIY Furniture,Number of furniture pieces you've crafted,5,5,50,200,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,TprrYjwsCvZbDdcvK
Furniture Freshener,Number of times you've customized furniture at a workbench,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,viHJXo8XB8C3h259Q
Rough-hewn,Number of times you've chopped wood from trees,5,20,100,500,2000,5000,300,500,1000,2000,3000,0,Yes,1.0.0,btjGeCA3qDRLwhuZE
Trashed Tools,Number of tools you've broken,5,1,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,YhhXqkerTwLu4ewXi
Rock-Splitting Champ,Awarded the first time you get 8 ores/stones from striking a rock,1,1,0,0,0,0,500,500,1000,2000,3000,0,Yes,1.0.0,hgxFRczyFtmSmiTEG
Bona Fide Bone Finder!,Awarded the first time you dig up a fossil,1,1,0,0,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,za7CbkxtzEysWCFJg
Fossil Assessment,Number of fossils you've had assessed by Blathers,5,5,30,100,300,500,300,500,1000,2000,3000,0,Yes,1.0.0,SYs89hReg8PJPhi7b
Greedy Weeder,Number of weed clumps you've sold to the shop,5,50,200,1000,2000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,MRjh6LGccgw56xxca
Flower Power,Number of flower seeds you've planted (does not count digging up and replanting existing flowers),5,10,50,100,200,300,300,500,1000,2000,3000,0,Yes,1.0.0,aub4aeJa7i4ps92vt
Flower Tender,Number of flowers you've watered,5,10,50,100,500,1000,300,500,1000,2000,3000,0,Yes,1.0.0,8JeajqbS7bHbJ4KPH
Tomorrow's Trees Today,Number of tree saplings you've planted (does not count planting fruits or replanting existing trees),3,5,10,30,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,eeDWd35DjuJy7CsM5
Pick of the Bunch,Number of fruits you've sold to the shop,5,20,100,500,1000,3000,300,500,1000,2000,3000,0,Yes,1.0.0,tGg8gEWooCRFAn2Km
Fruit Roots,"Awarded for each unique fruit tree you've planted (cherry, orange, pear, peach, apple, and coconut)",6,0,0,0,0,0,100,200,300,500,700,1000,No,1.0.0,tNSnLaumH2MbDMSqK
Shrubbery Hububbery,Number of shrub starts you've planted (replanting existing shrubs),3,1,2,20,0,0,300,500,1000,0,0,0,Yes,1.2.0,kosAYGQuM92yWsRZx
Go Ahead. Be Shellfish!,Number of seashells you've sold to the shop,5,10,50,200,500,1000,300,500,1000,2000,3000,0,Yes,1.0.0,eycL6Ntub97uvKwgB
Clam and Collected,Number of clams you've dug up,5,5,20,50,100,200,300,500,1000,2000,3000,0,Yes,1.0.0,MsKyNAx2BBitXF4SQ
Trash Fishin',"Number of trash items (cans, tires, or boots) you've fished up",3,3,10,20,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,gYpEcg4qf7X46Svfz
Cast Master,Number of fish you've caught in a single streak without any getting away,3,10,50,100,0,0,300,500,1000,2000,3000,0,Yes,1.0.0,PcXyzjRR7mMRJMpWA
Dream House,Number of times you've expanded your home,5,1,2,5,6,7,500,1000,2000,3000,5000,0,Yes,1.0.0,FLDPYLE7KWu8S9uPg
Decorated Decorator,"Awarded the first time you get an ""S"" ranking from the HHA",1,1,0,0,0,0,1000,500,1000,2000,3000,0,Yes,1.0.0,kzJaqFiCaRivejX2x
Hoard Reward,Number of furniture pieces you've placed in your house,5,5,15,30,100,150,300,1000,2000,3000,5000,0,Yes,1.0.0,k6RF4XJhEdk3DWupM
Good Things in Store!,Number of items you've placed in your home storage,5,20,50,100,200,300,300,1000,2000,3000,5000,0,Yes,1.0.0,vmFkmQFGyKNS6gPdo
Remarkable Remodeler,Number of times you've remodeled the outside appearance of your home,3,1,3,5,0,0,500,1000,2000,3000,5000,0,Yes,1.0.0,ZqLiA9gGSKTBGZQgZ
